#{"t_start": 1759324883.863047, "env_id": "CartPole-v1"}
r,l,t
11.0,11,156.889649
15.0,15,156.903464
15.0,15,156.91617
12.0,12,156.927456
13.0,13,156.938698
13.0,13,156.949008
14.0,14,156.961242
11.0,11,156.969925
18.0,18,156.986371
16.0,16,157.001207
11.0,11,157.011809
15.0,15,157.021649
16.0,16,157.035577
11.0,11,157.045866
13.0,13,157.056029
13.0,13,157.068733
13.0,13,157.079424
12.0,12,157.088789
14.0,14,157.099595
14.0,14,157.114041
10.0,10,157.121664
12.0,12,157.132285
11.0,11,157.142648
14.0,14,157.157701
12.0,12,157.167806
13.0,13,157.179031
15.0,15,157.193964
15.0,15,157.204206
16.0,16,157.219996
11.0,11,157.230181
13.0,13,157.242317
15.0,15,157.254336
15.0,15,157.267546
13.0,13,157.27973
14.0,14,157.294197
13.0,13,157.304464
12.0,12,157.31482
13.0,13,157.32531
15.0,15,157.33955
14.0,14,157.350966
12.0,12,157.361588
15.0,15,157.376001
11.0,11,157.386324
13.0,13,157.396573
12.0,12,157.407385
13.0,13,157.419237
14.0,14,157.432379
15.0,15,157.445779
13.0,13,157.455528
10.0,10,157.462778
11.0,11,157.473148
13.0,13,157.48533
15.0,15,157.49823
14.0,14,157.511695
12.0,12,157.525198
12.0,12,157.5349
14.0,14,157.545685
13.0,13,157.557373
12.0,12,157.5666
12.0,12,157.576839
11.0,11,157.587102
13.0,13,157.597942
13.0,13,157.612162
11.0,11,157.619564
12.0,12,157.629869
14.0,14,157.641203
11.0,11,157.652861
14.0,14,157.66301
11.0,11,157.673707
14.0,14,157.685922
10.0,10,157.69536
14.0,14,157.706301
11.0,11,157.71614
11.0,11,157.726331
14.0,14,157.736899
