#{"t_start": 1760168200.6809075, "env_id": "None"}
r,l,t
11.0,11,87.019917
8.0,8,87.024537
10.0,10,87.032388
8.0,8,87.037361
10.0,10,87.045019
10.0,10,87.049629
10.0,10,87.056942
11.0,11,87.064203
9.0,9,87.069321
10.0,10,87.074955
11.0,11,87.084483
9.0,9,87.090645
9.0,9,87.098894
10.0,10,87.10498
10.0,10,87.114182
10.0,10,87.119896
9.0,9,87.126201
10.0,10,87.133274
10.0,10,87.140951
9.0,9,87.14864
10.0,10,87.154175
11.0,11,87.162869
10.0,10,87.1689
10.0,10,87.177453
9.0,9,87.183581
10.0,10,87.193424
10.0,10,87.199474
9.0,9,87.205087
12.0,11,87.213833
10.0,10,87.22262
10.0,10,87.227859
9.0,9,87.234412
9.0,9,87.241458
10.0,10,87.247581
10.0,10,87.255822
11.0,11,87.262598
8.0,8,87.26815
9.0,9,87.275233
9.0,9,87.281353
9.0,9,87.28807
10.0,10,87.29583
10.0,10,87.303043
10.0,10,87.310717
9.0,9,87.317794
9.0,9,87.32398
10.0,10,87.332601
10.0,10,87.339727
9.0,9,87.345873
9.0,9,87.353111
9.0,9,87.359338
10.0,10,87.36656
10.0,10,87.374235
10.0,10,87.381473
9.0,9,87.389722
10.0,10,87.394876
12.0,11,87.404052
9.0,9,87.410745
10.0,10,87.418935
9.0,9,87.42469
10.0,10,87.431345
8.0,8,87.437466
9.0,9,87.445719
10.0,10,87.451806
11.0,11,87.45998
9.0,9,87.466125
8.0,8,87.472843
10.0,10,87.481028
10.0,10,87.488881
8.0,8,87.493001
9.0,9,87.499157
10.0,10,87.507923
10.0,10,87.512516
9.0,9,87.518655
10.0,10,87.525996
9.0,9,87.532126
9.0,9,87.53944
10.0,10,87.547151
9.0,9,87.552862
10.0,10,87.561696
8.0,8,87.567786
10.0,10,87.573464
9.0,9,87.582686
9.0,9,87.588997
9.0,9,87.594601
9.0,9,87.601829
10.0,10,87.609513
9.0,9,87.616713
9.0,9,87.624013
9.0,9,87.631595
11.0,11,87.63872
9.0,9,87.646926
10.0,10,87.65357
10.0,10,87.661305
9.0,9,87.66706
10.0,10,87.672955
9.0,9,87.681758
9.0,9,87.688059
9.0,9,87.694254
10.0,10,87.702456
10.0,10,87.707054
9.0,9,87.712299
8.0,8,87.719062
9.0,9,87.727669
10.0,10,87.733275
10.0,10,87.741401
10.0,10,87.747952
8.0,8,87.752647
8.0,8,87.757319
10.0,10,87.764949
10.0,10,87.771053
9.0,9,87.776748
9.0,9,87.78501
9.0,9,87.791591
9.0,9,87.797745
10.0,10,87.804982
10.0,10,87.811114
10.0,10,87.819362
9.0,9,87.824462
10.0,10,87.831585
10.0,10,87.838838
9.0,9,87.844998
9.0,9,87.852344
9.0,9,87.860009
9.0,9,87.865675
10.0,10,87.871805
11.0,10,87.879535
8.0,8,87.885936
10.0,10,87.892506
14.0,12,87.901079
10.0,10,87.912559
10.0,10,87.919846
10.0,10,87.929048
10.0,10,87.935506
11.0,11,87.945913
