#{"t_start": 1760168200.6778426, "env_id": "None"}
r,l,t
8.0,8,12.88694
9.0,9,12.895497
10.0,10,12.903206
8.0,8,12.908915
8.0,8,12.916174
10.0,10,12.922293
9.0,9,12.929555
10.0,10,12.937247
9.0,9,12.947144
10.0,10,12.954227
8.0,8,12.958802
9.0,9,12.966528
10.0,10,12.976894
9.0,9,12.983185
10.0,10,12.990258
8.0,8,12.995901
10.0,10,13.002038
9.0,9,13.007658
9.0,9,13.015423
9.0,9,13.021844
10.0,10,13.027887
11.0,11,13.036606
10.0,10,13.044831
8.0,8,13.050398
10.0,10,13.056974
10.0,10,13.066594
11.0,11,13.073682
9.0,9,13.083278
8.0,8,13.08938
11.0,11,13.09521
10.0,10,13.10446
9.0,9,13.109746
9.0,9,13.116364
